location_id,address_1,address_2,city,state,zip,county,location_source_value,country_concept_id,country_source_value,latitude,longitude
21,45 Newbury St,,BOSTON,MA,02116,,,,UNITED STATES OF AMERICA,42.35027,-71.07785
22,120 Boylston St,,BOSTON,MA,02116,,,,UNITED STATES OF AMERICA,42.35141,-71.06987
23,350 Massachusetts Ave,,BOSTON,MA,02115,,,,UNITED STATES OF AMERICA,42.34247,-71.08737
24,88 Beacon St,,BOSTON,MA,02108,,,,UNITED STATES OF AMERICA,42.35646,-71.06962
25,15 Main St,,WORCESTER,MA,01608,,,,UNITED STATES OF AMERICA,42.26259,-71.80229
26,201 Chandler St,,WORCESTER,MA,01609,,,,UNITED STATES OF AMERICA,42.25541,-71.82345
27,410 Belmont St,,WORCESTER,MA,01604,,,,UNITED STATES OF AMERICA,42.27196,-71.78403
28,75 State St,,SPRINGFIELD,MA,01103,,,,UNITED STATES OF AMERICA,42.10259,-72.58975
29,1385 Main St,,SPRINGFIELD,MA,01103,,,,UNITED STATES OF AMERICA,42.10578,-72.59062
30,220 Sumner Ave,,SPRINGFIELD,MA,01108,,,,UNITED STATES OF AMERICA,42.09512,-72.55987
31,60 Merrimack St,,LOWELL,MA,01852,,,,UNITED STATES OF AMERICA,42.63428,-71.31220
32,175 Middlesex St,,LOWELL,MA,01852,,,,UNITED STATES OF AMERICA,42.63820,-71.30947
33,20 Church St,,CAMBRIDGE,MA,02138,,,,UNITED STATES OF AMERICA,42.37432,-71.11851
34,815 Somerville Ave,,CAMBRIDGE,MA,02139,,,,UNITED STATES OF AMERICA,42.37489,-71.10827
35,90 Elm St,,SOMERVILLE,MA,02144,,,,UNITED STATES OF AMERICA,42.39568,-71.11298
36,470 Broadway,,SOMERVILLE,MA,02145,,,,UNITED STATES OF AMERICA,42.38471,-71.09667
37,300 Essex St,,LAWRENCE,MA,01840,,,,UNITED STATES OF AMERICA,42.70703,-71.16311
38,55 Amesbury St,,LAWRENCE,MA,01840,,,,UNITED STATES OF AMERICA,42.70776,-71.16597
39,110 Front St,,NEW BEDFORD,MA,02740,,,,UNITED STATES OF AMERICA,41.63730,-70.93420
40,88 Union St,,NEW BEDFORD,MA,02740,,,,UNITED STATES OF AMERICA,41.63592,-70.92924
